,Заглавие:,Автор: ,Категория:,Номер: ,Издадена:,Език:
237,Методическо ръководство за решаване на задачи по висша математика (3та част ),"Пламен Паскалев, Капка Димитрова",Обща математика,,2006,бг
,,,,,,
238,Метод Перевала,М.В.Федорюк,Частни диференциални уравнения,,1977,ру
239,Уравнения Типа Свертки,"Ф.Д.Гахов, Ю.И.Черский",Частни диференциални уравнения,,1978,ру
240,Задача Коши для гиперболических уравнений,Л.Гординг,Частни диференциални уравнения,,1961,ру
241,Некоторы задачи теории упругости и теплопроводности решаемые в бесселевых функциях,Б.Г.Коренев,Частни диференциални уравнения,,1960,ру
242,Метод Собственных векторных функций в пространственных задачах теории упругости,А.Ф.Улитко,Частни диференциални уравнения,,1979,ру
243,Вырождающиеся гиперболические уравнения,М.М.Смирнов,Частни диференциални уравнения,,1977,ру
244,Задача Коши для линейных уравнений с частными производными гиперболического типа,Ж.Адамар,Частни диференциални уравнения,,1978,ру
245,Ръководство по частни диференциални уравнения,"Петър Попиванов, Недю Попиванов, Йордан Йорданов",Частни диференциални уравнения,,1997,бг
246,Частни диференциални уравнения,Тодор Генчев,Частни диференциални уравнения,,2004,бг
247,Введение в современную теорию дифференциальных уравнений в частных производных,Я.Б.Лопатинский,Частни диференциални уравнения,,1980,ру
,,,,,,
248,Пространства постоянной кривизны,Дж.Вольф,Геометрия,,1982,ру
249,Точечно-векрорная геометрия и ее приложения в теории вероятностей,"Ф.В.Томашевич, Л.И.Томашевич",Геометрия,,1979,ру
250,Проективная Геометрия,Н.Ф.Четверухин,Геометрия,,1953,ру
251,Теория измерений,И.Пфанцагль,Геометрия,,1976,ру
252,Геометрия ( 2ра част ),"Л.С.Атанасян, Г.Б.Гуревич",Геометрия,,1976,ру
253,Геометрия ( 1ва част ),Л.С.Атанасян,Геометрия,,1973,ру
254,Сборник задач по геометрии (1ва част),"Л.С.Атанасян, В.А.Атанасян",Геометрия,,1973,ру
255,Введение в конечные геометрии,Ф.Картеси,Геометрия,,1980,ру
256,Основания геометрии,А.В.Погорелов,Геометрия,,1979,ру
257,Геометрические неравенства,"Д.М.Бураго, В.А.Залгаллер",Геометрия,,1980,ру
258,Комбинаторная геометрия различных классов выпуклых множеств,"В.Г.Болтянский, П.С.Солтан",Геометрия,,1978,ру
259,Лекции о замкнутых геодезических,В. Клингенберг,Геометрия,,1982,ру
260,Плоские кривые,А.А.Савелов,Геометрия,,1960,ру
,,,,,,
261,Введение в гомологическую теорию размерности,П.С.Александров,топология,,1975,
262,Топологические методы в алгебраической геометрии,Ф.Хирцебрух,топология,,1973,
263,Гомотопически инвариантные алгебраические структупы на топологических протранствах,"Дж.Бордман, Р.Фогт",топология,,1977,
264,Введение в алгебраическую к-теорию,Дж.Милнор,топология,,1974,
265,Общая теория гомологий,П.С.Александров,топология,,1979,
266,К-теория,М.Каруби,топология,,1981,
267,Геометрическая топология,Д.Сулливан,топология,,1975,
268,О топологиях и границах в теории потенциала,М.Брело,топология,,1974,
269,Топологические пространства и их отображения,Петра Стучки,топология,,1983,
,,,,,,
270,Применение логики в науке и технике,Академия наук СССР,логика,,няма,
271,Множества и някой техни приложения,Ефтим Божоров,логика,,1973,
272,Модальная логика,Р.Фейс,логика,,1974,
273,Математический интуиционизм.Введение в теорию доказательств,А.Г.Драгалин,логика,,1979,
,,,,,,
274,Приближенные вычисления,Я.О. Безикович,числени методи,,1949,
275,Метод дифференциального приближения,Ю.И.Шокин,числени методи,,1979,
276,Основы вычислительной математики,"Б.П.Демидович, И.А.Марон",числени методи,,1963,
277,Числовы системы,В.И.Нечаев,числени методи,,1975,
278,Квадратурные формулы,С.М.Никольский,числени методи,,1979,
279,Численные методы,Е.А.Волков,числени методи,,1982,
280,Численные методы,Ж.Кунцман,числени методи,,1979,
281,Теория линейных следящих систем,Дж. К. Ныютон,числени методи,,1961,
282,Численые методы,Н. И. Данилина,числени методи,,1976,
283,Апроксимация и оптимизация,П.-Ж. Лоран,числени методи,,1975,
284,Приближенные вычисления,М.Г. Крейн,числени методи,,,
285,Проблема моментов маркова и екстремалные задачи,М.Г. Крейн,числени методи,,1973,
286,Приближенные Вычисление интегралов,В.И. Крылов,числени методи,,1967,
287,Численые методы максимина,В.В. Федоров,числени методи,,1979,
288,Числены методы,Н. И. Калиткин,числени методи,,1978,
289,Введение в асимптотические методы и специальные функции,Ф.Олвер,числени методи,,1978,
290,Лекции по числени методи,Борислав Боянов,числени методи,,няма,
291,Теория ошибок и метод наименьших квадратов,А.И.Мазмишвили,числени методи,,1978,
292,Точные и приближенные вычисления,И.Г.Булавко,числени методи,,1963,
293,Вычислителные методы высшей математики 2,"В.И.Крылов,Ж.Ж.Бобков, П.И.Монастырный",числени методи,,1975,
,,,,,,
294,Оптимизация линейных систем,"Р.Ф.Габасов, Ф.М.Кириллова",оптимиране,,1973,
